B_id,first_freezing_duration_sD,first_freezing_duration_sS,first_freezing_duration_pD,first_freezing_duration_pS
B1,2.7333333333333334,0.6,,0.9666666666666667
B2,0.7166666666666667,,0.5,0.8
B3,0.6666666666666667,2.933333333333333,0.5166666666666666,0.6166666666666667
B4,1.1666666666666667,0.9833333333333333,0.8666666666666667,
B5,0.8666666666666667,0.6666666666666666,0.5,0.5666666666666667
B6,,0.6444444444444444,0.5833333333333334,0.5
B7,0.8066666666666666,1.0916666666666666,0.5,1.3333333333333333
B8,0.6833333333333333,0.8666666666666667,0.825,0.7666666666666667
B9,1.9111111111111112,,0.6333333333333333,1.1500000000000001
B10,0.6111111111111112,,0.5777777777777778,1.5499999999999998
B11,,1.0833333333333333,0.6666666666666666,0.9444444444444443
B12,0.925,1.15,0.7166666666666667,0.5333333333333333
B13,1.7833333333333332,0.5777777777777778,0.5833333333333333,0.9444444444444445
B14,,3.4555555555555553,,1.653333333333333
B15,0.7666666666666666,1.5166666666666666,0.9,
B16,0.6166666666666667,,,
B17,2.2916666666666665,0.4,2.533333333333333,0.6
B18,0.65,0.6866666666666668,0.6555555555555554,1.5277777777777777
B19,0.6,0.5,0.5,2.2333333333333334
B20,,,0.5333333333333333,0.7444444444444445
