D_id,near_D,near_S,middle_D,middle_S,far_D,far_S
D1,-1.539325842696629,-1.9101123595505616,-7.168539325842698,-12.842696629213483,7.4831460674157455,13.94382022471909
D2,-12.370786516853933,29.91011235955056,-2.022471910112362,-0.25842696629213435,13.921348314606746,-30.17977528089888
D3,14.573033707865164,-0.8876404494382024,18.865168539325843,-1.1348314606741567,-35.06741573033708,-5.460674157303373
D4,-20.1123595505618,35.87640449438203,8.865168539325843,13.112359550561797,11.224719101123604,-48.42696629213484
D5,1.101123595505618,2.3595505617977532,-4.348314606741574,3.3707865168539324,2.820224719101134,-6.033707865168537
D6,18.730337078651683,9.707865168539325,-2.4606741573033712,-2.561797752808989,-16.528089887640434,-7.617977528089881
D7,5.303370786516853,0.6179775280898876,24.393258426966295,-0.247191011235957,-30.2808988764045,1.6404494382022534
D8,1.3146067415730336,0.5056179775280896,15.55056179775281,4.011235955056179,-17.48314606741573,-5.292134831460672
D9,-1.044943820224719,-0.6741573033707868,0.0449438202247201,-9.966292134831459,0.1797752808988804,10.202247191011239
D10,-12.247191011235955,1.6853932584269664,16.404494382022474,14.662921348314608,-5.022471910112358,-17.213483146067404
D11,-3.3146067415730336,-3.8876404494382024,-4.382022471910112,-3.6516853932584277,1.9662921348314768,-14.662921348314612
