B_id,total_stretch-attend_duration_sD,total_stretch-attend_duration_sS,total_stretch-attend_duration_pD,total_stretch-attend_duration_pS
D1,6.300000000000001,31.4,24.93333333333333,5.9
D2,4.699999999999999,16.333333333333332,22.866666666666667,9.266666666666667
D3,7.0,22.8,22.700000000000003,20.999999999999996
D4,2.8,5.933333333333334,25.099999999999998,11.100000000000001
D5,41.499999999999986,5.066666666666666,29.499999999999996,18.933333333333334
D6,10.033333333333333,34.43333333333333,16.3,6.966666666666667
D7,10.033333333333333,33.3,8.6,27.133333333333336
D8,3.7,28.4,33.333333333333336,45.89999999999999
D9,26.36666666666667,17.833333333333332,30.499999999999996,9.433333333333332
D10,11.066666666666666,12.3,28.9,25.299999999999997
D11,14.666666666666668,11.566666666666666,21.133333333333333,7.9
