B_id,avg_stretch-attend_duration_sD,avg_stretch-attend_duration_sS,avg_stretch-attend_duration_pD,avg_stretch-attend_duration_pS
D1,2.1,3.488888888888889,1.780952380952381,1.475
D2,0.6714285714285714,2.722222222222222,2.5407407407407407,1.8533333333333335
D3,1.4,3.257142857142857,1.7461538461538464,2.333333333333333
D4,1.4,2.966666666666667,2.091666666666667,1.3875000000000002
D5,2.964285714285713,1.6888888888888889,1.6388888888888888,2.1037037037037036
D6,2.006666666666667,6.886666666666666,1.8111111111111111,2.3222222222222224
D7,2.5083333333333333,3.6999999999999997,1.4333333333333333,2.2611111111111115
D8,1.85,3.55,4.166666666666666,3.5307692307692307
D9,2.6366666666666663,2.5476190476190474,2.1785714285714284,1.3476190476190475
D10,5.533333333333333,1.7571428571428573,2.4083333333333337,1.2047619047619047
D11,2.4444444444444446,2.3133333333333335,2.6416666666666666,2.6333333333333333
