B_id,total_ad_duration_sD,total_ad_duration_sS,total_ad_duration_pD,total_ad_duration_pS
D1,247.16666666666666,197.56666666666666,97.93333333333334,212.20000000000005
D2,295.96666666666664,239.53333333333333,276.8333333333333,270.6333333333333
D3,263.40000000000003,233.16666666666669,288.1,208.36666666666667
D4,163.16666666666666,230.03333333333336,242.73333333333332,200.76666666666668
D5,84.16666666666667,137.93333333333334,198.86666666666667,300.0
D6,81.06666666666668,111.30000000000001,235.76666666666668,188.99999999999997
D7,81.06666666666668,58.53333333333334,247.93333333333337,205.26666666666668
D8,225.4,184.56666666666663,182.8,222.36666666666667
D9,200.06666666666666,200.46666666666664,139.20000000000002,108.03333333333333
D10,212.4,142.2,242.4666666666666,239.1
D11,213.29999999999998,216.6,217.20000000000002,163.1
