B_id,approach_speed_sD,approach_speed_sS,approach_speed_pD,approach_speed_pS
D1,3.2412125326145,5.069477077423354,5.906921499289105,7.91891784653258
D2,5.754108097599044,6.409720514110775,6.604005147945063,9.312109272932146
D3,6.775221196388011,5.623205294255719,6.571516600336748,6.858575075577898
D4,3.4578691969138426,3.1760286133410425,5.040666774178429,5.086345536278655
D5,6.3532832321317985,6.667989366892553,6.8133633686478365,6.776442570454053
D6,9.9540627492971,4.555052906358736,7.698373734432653,8.150071861910176
D7,9.9540627492971,5.301579886941225,5.413780475134743,5.768979874998373
D8,9.540199540331407,9.043028232974075,6.735659086082797,10.2623673772571
D9,7.910966534853348,6.561927822643858,5.483629643821147,9.637937657403077
D10,6.161402237627897,6.941338693969936,7.301890535398315,9.472301036756788
D11,9.91836733980869,3.415159220485354,7.82793792042273,7.1525151237231075
