B_id,_blD,_blS,_wrD,_wrS
D1,6.8259385665528995,0.0,69.4267515923567,79.73744292237441
D2,0.0,9.657947686116701,3.1855955678670353,67.84968684759917
D3,6.986027944111778,1.9837691614066726,31.155192532088677,57.64388489208632
D4,0.0,0.0,39.97326203208557,80.49189491335942
D5,0.0,13.461538461538463,86.92913385826773,73.71225577264654
D6,0.0,0.0,42.46231155778894,67.91720569210867
D7,0.0,0.0,36.39947437582129,40.570175438596486
D8,3.2534246575342465,5.306799336650084,71.22736418511064,74.47864945382324
D9,0.0,0.0,63.10395314787702,84.7944142746315
D10,0.0,0.0,48.64864864864865,17.805755395683455
D11,0.0,0.0,70.92592592592594,92.41672572643516
