B_id,_blD,_blS,_plD,_plS
B1,0.13333333333333333,,,
B2,2.3499999999999996,,5.266666666666667,
B3,2.283333333333333,0.5833333333333334,0.6,
B4,1.6666666666666665,0.5833333333333334,,0.3
B5,1.3555555555555554,0.5,0.275,0.26666666666666666
B6,0.11666666666666667,1.0333333333333334,0.4666666666666666,0.7444444444444445
B7,1.1800000000000002,1.3111111111111111,0.9666666666666667,2.7416666666666663
B8,1.3666666666666667,,0.6083333333333334,0.75
B9,0.2,0.5333333333333333,0.9222222222222222,
B10,0.43333333333333335,0.26666666666666666,2.2,1.1
B11,0.6666666666666666,0.3833333333333333,0.23333333333333334,
B12,15.866666666666667,0.23333333333333334,0.36666666666666664,0.3333333333333333
B13,0.31666666666666665,1.2444444444444445,0.65,1.3083333333333331
B14,0.2,,0.6166666666666667,
B15,,0.3,,0.8111111111111112
B16,,,,0.1
B17,0.5,,,2.9000000000000004
B18,0.9333333333333332,0.43333333333333335,0.5833333333333334,0.5083333333333333
B19,0.3833333333333333,0.7066666666666667,2.0,
B20,0.6666666666666667,,0.3333333333333333,0.13333333333333333
