behavior,rank,count,object,total_time_sec
approach,D,32,self,2.8
approach,S,42,self,2.7
sniff,D,32,self,10.966666666666667
sniff,S,42,self,19.533333333333335
follow,D,32,self,0.0
follow,S,42,self,0.7333333333333333
groom,D,32,self,11.033333333333333
groom,S,42,self,0.0
huddling,D,32,self,0.0
huddling,S,42,self,1.2
approach,D,32,partner,1.7666666666666666
approach,S,42,partner,1.8666666666666667
sniff,D,32,partner,14.0
sniff,S,42,partner,3.4
follow,D,32,partner,2.2333333333333334
follow,S,42,partner,0.0
groom,D,32,partner,3.4
groom,S,42,partner,0.0
huddling,D,32,partner,0.6
huddling,S,42,partner,0.0
