B_id,rank,mouse_id,nest_baseline,edge_baseline,center_baseline,nest_0-5s,edge_0-5s,center_0-5s,nest_5-20s,edge_5-20s,center_5-20s,nest_20-60s,edge_20-60s,center_20-60s
B1,Dom,B1M2(D),41.144444444444446,36.93333333333334,21.922222222222224,41.333333333333336,0.0,58.66666666666667,50.0,42.888888888888886,7.111111111111111,42.0,30.583333333333336,27.416666666666668
B2,Dom,B2M1(D),52.894444444444446,35.86666666666667,11.238888888888889,27.0,13.666666666666666,59.333333333333336,77.77777777777777,17.0,5.222222222222222,75.83333333333334,17.416666666666668,6.75
B3,Dom,B3M2(D),37.2,43.91111111111111,18.88888888888889,9.666666666666666,0.0,90.33333333333333,13.222222222222221,58.0,28.77777777777778,19.75,43.375,36.875
B4,Dom,B4M1(D),35.8,50.12777777777778,14.072222222222223,0.0,48.33333333333333,51.66666666666666,28.88888888888889,61.666666666666664,9.444444444444445,40.583333333333336,40.083333333333336,19.333333333333332
B5,Dom,B5M1(D),55.833333333333336,28.27777777777778,15.88888888888889,28.666666666666668,45.666666666666664,25.66666666666667,37.55555555555556,39.666666666666664,22.77777777777778,47.875,34.16666666666667,17.958333333333332
B6,Dom,B6M1(D),34.705555555555556,45.58333333333333,19.71111111111111,56.0,33.333333333333336,10.666666666666666,74.81481481481482,7.111111111111112,18.074074074074076,31.722222222222218,39.63888888888889,28.63888888888889
B7,Dom,B7M2(D),35.11111111111111,56.86111111111111,8.027777777777779,16.533333333333335,45.86666666666667,37.6,53.777777777777786,43.86666666666666,2.355555555555555,26.616666666666667,56.65,16.73333333333333
B8,Dom,B8M1(D),44.21111111111111,45.172222222222224,10.616666666666667,0.0,70.26666666666668,29.733333333333338,28.044444444444444,60.75555555555555,11.200000000000001,32.1,37.18333333333333,30.71666666666667
B9,Dom,B9M1(D),30.2,32.87222222222223,36.92777777777778,41.2,8.4,50.4,37.86666666666666,21.244444444444447,40.88888888888889,25.4,39.016666666666666,35.583333333333336
B10,Dom,B10M2(D),39.22222222222223,45.05555555555556,15.722222222222223,30.666666666666664,36.266666666666666,33.06666666666666,33.24444444444445,55.82222222222223,10.933333333333334,54.18333333333334,33.43333333333334,12.383333333333333
B11,Dom,B11M2(D),33.94444444444444,42.80555555555556,23.25,82.4,0.0,17.6,79.28888888888889,10.933333333333334,9.777777777777777,80.35000000000001,10.016666666666666,9.633333333333335
B12,Dom,B12M2(D),13.188888888888888,74.31666666666666,12.494444444444444,0.0,24.53333333333333,75.46666666666667,3.3777777777777773,78.3111111111111,18.311111111111114,25.26666666666667,58.416666666666664,16.31666666666667
B13,Dom,B13M2(D),16.383333333333333,63.294444444444444,20.322222222222223,0.0,51.2,48.8,7.7333333333333325,79.6,12.666666666666668,9.316666666666666,66.03333333333333,24.65
B14,Dom,B14M2(D),42.18333333333334,41.73888888888889,16.077777777777776,81.73333333333333,1.0666666666666669,17.2,98.8,0.0,1.2,77.58333333333334,15.916666666666668,6.5
B15,Dom,B15M2(D),28.12777777777778,48.46666666666667,23.405555555555555,64.8,0.0,35.2,65.22222222222223,15.377777777777776,19.4,64.22500000000001,18.333333333333332,17.44166666666667
B16,Dom,B16M2(D),35.138888888888886,50.67777777777778,14.183333333333334,54.33333333333333,11.75,33.91666666666667,65.86111111111111,28.388888888888886,5.75,47.21875,34.70833333333333,18.072916666666668
B17,Dom,B17M2(D),13.666666666666666,76.45555555555555,9.877777777777778,5.733333333333333,39.733333333333334,54.533333333333324,35.511111111111106,33.06666666666667,31.422222222222224,20.316666666666663,63.44999999999999,16.233333333333334
B18,Dom,B18M1(D),38.77777777777778,52.31111111111111,8.911111111111111,0.0,49.333333333333336,50.66666666666667,0.0,83.11111111111111,16.888888888888886,41.35416666666667,54.9375,3.708333333333333
B19,Dom,B19M1(D),41.53333333333333,46.7,11.766666666666667,45.2,29.2,25.6,65.46666666666667,22.71111111111111,11.822222222222223,59.5,32.2,8.3
B20,Dom,B20M2(D),37.605555555555554,47.638888888888886,14.755555555555555,75.53333333333333,5.533333333333333,18.933333333333334,80.91111111111111,12.933333333333332,6.155555555555556,44.81666666666668,41.358333333333334,13.825
B1,Sub,B1M1(S),40.666666666666664,33.983333333333334,25.35,0.0,58.66666666666667,41.33333333333333,0.0,100.0,0.0,47.08333333333333,30.0,22.916666666666664
B2,Sub,B2M2(S),41.49444444444445,39.22777777777778,19.27777777777778,0.0,77.0,23.0,28.888888888888886,44.0,27.11111111111111,25.375,63.5,11.125
B3,Sub,B3M1(S),30.86111111111111,45.94444444444444,23.194444444444446,0.0,93.66666666666666,6.333333333333334,24.666666666666668,50.66666666666667,24.666666666666664,46.833333333333336,32.458333333333336,20.708333333333332
B4,Sub,B4M2(S),33.53333333333333,44.68333333333334,21.78333333333333,0.0,70.66666666666666,29.333333333333336,12.555555555555555,67.88888888888889,19.555555555555557,19.041666666666664,32.208333333333336,48.75
B5,Sub,B5M2(S),45.07222222222222,41.40555555555556,13.522222222222222,25.0,54.666666666666664,20.333333333333332,45.55555555555556,41.55555555555556,12.88888888888889,25.0,63.12500000000001,11.875
B6,Sub,B6M2(S),27.066666666666666,42.52777777777778,30.40555555555556,38.833333333333336,15.0,46.166666666666664,32.27777777777778,50.94444444444444,16.77777777777778,58.93750000000001,19.6875,21.375
B7,Sub,B7M1(S),36.038888888888884,58.13333333333334,5.8277777777777775,0.0,46.666666666666664,53.333333333333336,29.733333333333338,67.46666666666667,2.8,49.03333333333334,36.733333333333334,14.233333333333334
B8,Sub,B8M2(S),33.53333333333333,51.83888888888889,14.627777777777778,30.4,10.933333333333334,58.666666666666664,40.4,44.355555555555554,15.244444444444444,30.85,54.94999999999999,14.2
B9,Sub,B9M2(S),24.75,57.144444444444446,18.105555555555554,79.6,0.13333333333333336,20.266666666666666,50.75555555555555,34.53333333333334,14.711111111111112,27.5,51.81666666666666,20.68333333333333
B10,Sub,B10M1(S),31.027777777777775,48.76111111111111,20.21111111111111,83.46666666666667,0.13333333333333336,16.4,100.0,0.0,0.0,89.3,8.45,2.25
B11,Sub,B11M1(S),39.51111111111111,41.55555555555556,18.933333333333334,28.4,16.4,55.2,73.24444444444444,18.622222222222224,8.133333333333335,34.0,45.199999999999996,20.8
B12,Sub,B12M1(S),5.733333333333333,87.15,7.116666666666667,0.0,44.800000000000004,55.2,4.888888888888888,72.04444444444445,23.06666666666667,20.216666666666665,71.25000000000001,8.533333333333335
B13,Sub,B13M1(S),12.627777777777776,62.33333333333333,25.038888888888888,0.0,24.26666666666667,75.73333333333332,11.288888888888888,53.511111111111106,35.2,26.9,59.10000000000001,14.0
B14,Sub,B14M1(S),15.494444444444444,66.62777777777778,17.87777777777778,16.533333333333335,12.4,71.06666666666666,40.577777777777776,41.15555555555555,18.266666666666666,18.666666666666664,67.93333333333334,13.4
B15,Sub,B15M1(S),39.483333333333334,45.516666666666666,15.0,68.16666666666666,9.75,22.083333333333332,91.55555555555556,3.4166666666666665,5.027777777777779,66.45833333333333,24.145833333333332,9.395833333333334
B16,Sub,B16M1(S),33.87222222222222,46.86111111111111,19.26666666666667,84.47619047619048,0.0,15.523809523809522,88.73015873015872,4.952380952380953,6.317460317460317,56.0595238095238,31.119047619047617,12.821428571428571
B17,Sub,B17M1(S),18.95,61.03333333333333,20.016666666666666,81.85185185185186,0.5925925925925927,17.555555555555557,100.0,0.0,0.0,63.24074074074073,33.23148148148148,3.5277777777777772
B18,Sub,B18M2(S),11.705555555555556,82.44444444444444,5.8500000000000005,0.9166666666666666,46.91666666666667,52.166666666666664,17.555555555555557,59.833333333333336,22.61111111111111,23.666666666666664,54.04166666666667,22.291666666666664
B19,Sub,B19M2(S),51.16111111111111,42.49444444444445,6.344444444444444,0.0,55.33333333333333,44.66666666666667,64.33333333333333,31.0,4.666666666666667,66.20833333333333,28.291666666666664,5.5
B20,Sub,B20M1(S),33.666666666666664,34.599999999999994,31.733333333333334,79.33333333333333,4.4,16.26666666666667,100.0,0.0,0.0,36.63333333333334,45.766666666666666,17.6
