far_width_cm,far_pct,nf_trans_bouts
0,0.0,0.0
1,0.03146067415730337,0.2
2,6.642284370525859,17.05
3,39.78657021131095,41.85
4,63.33753372366573,29.3
5,73.05440543187667,23.8
6,78.64565401738227,20.0
7,81.54902927289152,17.95
8,83.9702844082747,16.2
9,85.11243575915739,15.15
10,86.10178031018583,15.15
11,87.32449475943466,15.05
12,88.4525084593391,14.4
13,89.56451772219798,14.3
14,90.74520353518662,14.05
15,91.82273471293881,14.6
16,92.90367015463075,13.8
17,93.76297130156533,13.2
18,94.93542671405278,11.1
19,96.2314606741573,7.25
20,98.17696629213484,5.4
21,99.361797752809,2.25
22,99.72022471910113,0.3
23,99.81853932584269,0.15
24,100.0,0.0
