D_id,rank,near_pct,middle_pct,far_pct
D1,MD,3.2134831460674156,12.921348314606742,83.86516853932584
D2,MD,30.730337078651687,30.49438202247191,38.7752808988764
D3,MD,11.483146067415731,18.033707865168537,70.48314606741573
D4,MD,24.292134831460675,13.04494382022472,62.662921348314605
D5,MD,0.8202247191011236,11.921348314606742,87.25842696629213
D6,MD,7.426966292134832,12.887640449438203,79.68539325842696
D7,MD,7.426966292134832,13.44943820224719,79.12359550561798
D8,MD,2.6853932584269664,5.887640449438202,91.42696629213484
D9,MD,1.8089887640449438,7.168539325842696,91.02247191011236
D10,MD,41.02247191011236,18.325842696629213,40.651685393258425
D11,MD,22.707865168539325,12.438202247191011,64.85393258426966
D1,MS,3.3707865168539324,23.382022471910112,73.24719101123596
D2,MS,9.168539325842696,17.89887640449438,72.93258426966293
D3,MS,4.01123595505618,12.269662921348315,83.71910112359551
D4,MS,0.9213483146067416,6.842696629213483,91.65168539325843
D5,MS,2.292134831460674,3.932584269662921,93.7752808988764
D6,MS,3.1235955056179776,15.53932584269663,81.33707865168539
D7,MS,1.707865168539326,8.696629213483147,87.0
D8,MS,2.1235955056179776,7.955056179775282,89.92134831460675
D9,MS,3.707865168539326,17.662921348314605,78.62921348314606
D10,MS,2.157303370786517,4.932584269662922,92.91011235955055
D11,MS,4.640449438202247,7.56179775280899,87.79775280898876
