B_id,max_freezing_duration_sD,max_freezing_duration_sS,max_freezing_duration_pD,max_freezing_duration_pS
D1,6.7,3.3666666666666667,4.066666666666666,4.966666666666667
D2,1.8666666666666667,4.1,2.9,1.2666666666666666
D3,4.9,11.233333333333333,1.9666666666666666,4.433333333333334
D4,5.066666666666666,2.966666666666667,4.733333333333333,2.3666666666666667
D5,12.2,4.0,5.166666666666667,5.633333333333334
D6,4.7,15.666666666666666,3.1666666666666665,4.2
D7,3.2333333333333334,5.033333333333333,2.1,4.433333333333334
D8,16.1,7.3,4.3,2.8
D9,3.8,5.0,5.5,2.433333333333333
D10,3.3666666666666667,17.966666666666665,2.8333333333333335,4.033333333333333
D11,10.9,24.966666666666665,3.1,8.5
