B_id,avg_sniffing_duration_bl_sD,avg_sniffing_duration_bl_sS,avg_sniffing_duration_bl_pD,avg_sniffing_duration_bl_pS,avg_sniffing_duration_wr_sD,avg_sniffing_duration_wr_sS,avg_sniffing_duration_wr_pD,avg_sniffing_duration_wr_pS
B1,1.9555555555555557,1.1025641025641024,0.45222222222222225,0.7288888888888889,0.6138888888888888,1.0083333333333333,0.7523809523809524,0.6555555555555554
B2,2.238095238095238,1.793103448275862,1.488888888888889,0.9211382113821138,0.8634469696969697,0.6712962962962963,1.3833333333333333,0.9633024691358023
B3,1.7747126436781608,1.872222222222222,0.6702127659574468,0.5604166666666667,0.6439285714285714,0.755,1.090686274509804,1.1742735042735042
B4,1.560215053763441,1.0705882352941176,0.6532163742690057,0.6159722222222221,0.8333333333333334,0.9291666666666667,1.1998214285714286,0.9943630443630443
B5,2.827272727272727,2.405555555555556,0.4833333333333333,0.3888888888888889,0.5517992424242425,0.5941666666666667,0.5656459330143541,0.8727777777777778
B6,1.408641975308642,1.2397435897435898,0.5351351351351351,0.375,0.6347763347763349,0.80625,1.005163549900392,1.0121451914098971
B7,2.0950980392156864,1.4156250000000001,0.6353333333333334,0.6658119658119658,1.1429298941798942,0.9808833905415715,0.7608024691358025,0.9243414918414918
B8,1.7269841269841268,2.259090909090909,0.8178861788617886,0.5608333333333333,0.8491298523457965,0.7651397306397306,0.7241825578438851,0.7913398692810457
B9,0.9181818181818182,0.9015151515151515,0.8627450980392157,1.7848484848484851,0.9752457912457914,0.7225858585858587,0.5966239316239316,1.3930787037037038
B10,0.8848484848484848,1.2,0.8705882352941174,0.986111111111111,0.6797222222222223,0.576,1.1372562358276643,0.5777777777777778
B11,0.9619047619047618,0.911111111111111,1.0981481481481483,0.7402777777777777,0.41916666666666663,0.7055892255892255,1.060839334956982,0.8055847338935574
B12,1.1388888888888888,1.118333333333333,0.72,0.73125,0.5368333333333333,0.5740444862155388,0.4788690476190476,0.4845568783068783
B13,1.1809523809523808,0.9911111111111113,0.99375,0.711764705882353,0.5195185185185186,0.6773333333333333,0.45208333333333334,0.6039902998236333
B14,1.0742424242424242,0.8894736842105264,0.67,0.68,0.6037037037037036,0.5638888888888889,0.49444444444444446,0.8179208754208753
B15,1.3938271604938268,1.35,1.0411764705882351,0.6261904761904761,0.4315079365079365,0.5240451388888889,0.6353333333333333,0.6406565656565657
B16,0.7985507246376812,1.0656565656565655,0.4493827160493827,0.8228070175438597,0.7987393624893625,0.7082388615283353,1.2258582353319194,1.5010533910533912
B17,0.9205128205128207,0.88,1.4200000000000002,0.8933333333333333,0.45634920634920634,0.6293033509700177,1.9055674264007596,1.6773068201639632
B18,0.8562500000000001,1.0301587301587303,0.6301587301587303,0.6599999999999999,0.46953703703703703,0.6144942883913472,0.8918981481481483,0.888587962962963
B19,2.025333333333333,1.16,0.6928571428571431,0.7592592592592592,0.46611111111111114,0.55,1.4526543209876543,1.4851020408163265
B20,1.616666666666667,1.4666666666666668,0.39777777777777784,0.8138888888888888,0.3309156378600824,0.23866666666666667,0.6627777777777778,0.6743386243386243
